datetimeFC,forecast,p_battery,p_net_demand,soc_battery,pb_nom,pb_discharge_max,pb_charge_max,delta_t,soc_min,soc_max,efficiency,soc_ini,p_net_threshold,mpc_window
2021-07-24 14:45:00+00:00,1.4907734375000001,0.42102864700000003,1.9118020845,0.5458162161,15,4,6,0.25,0.1,0.9,1,0.5458162161,5,96
2021-07-24 15:00:00+00:00,1.5080844727,0.4025477723,1.910632245,0.5458162161,15,4,6,0.25,0.1,0.9,1,0.5458162161,5,96
2021-07-24 15:15:00+00:00,1.9349379883000002,-0.031336401300000004,1.903601587,0.5525253456,15,4,6,0.25,0.1,0.9,1,0.5525253456,5,96
2021-07-24 15:30:00+00:00,1.9881550293,-0.0916527988,1.8965022304999999,0.5520030722,15,4,6,0.25,0.1,0.9,1,0.5520030722,5,96
2021-07-24 15:45:00+00:00,2.0418508301,-0.1550530673,1.8867977628000001,0.5520030722,15,4,6,0.25,0.1,0.9,1,0.5520030722,5,96
2021-07-24 16:00:00+00:00,1.7885100098,0.0901857006,1.8786957104000002,0.5494188545,15,4,6,0.25,0.1,0.9,1,0.5494188545,5,96
2021-07-24 16:15:00+00:00,1.7220810547,0.1500529212,1.8721339759000002,0.5509219495000001,15,4,6,0.25,0.1,0.9,1,0.5509219495000001,5,96
2021-07-24 16:30:00+00:00,1.8993311768,-0.031693340300000004,1.8676378365000001,0.5534228315,15,4,6,0.25,0.1,0.9,1,0.5534228315,5,96
2021-07-24 16:45:00+00:00,1.7220250244000002,0.1392612843,1.8612863087,0.5534228315,15,4,6,0.25,0.1,0.9,1,0.5534228315,5,96
2021-07-24 17:00:00+00:00,1.7509188232000001,0.1042304347,1.8551492579,0.5557438529000001,15,4,6,0.25,0.1,0.9,1,0.5557438529000001,5,96
2021-07-24 17:15:00+00:00,1.8028218994,0.049989140200000004,1.8528110396000002,0.5557438529000001,15,4,6,0.25,0.1,0.9,1,0.5557438529000001,5,96
2021-07-24 17:30:00+00:00,1.8256309814,0.0254124388,1.8510434202,0.5565770052,15,4,6,0.25,0.1,0.9,1,0.5565770052,5,96
2021-07-24 17:45:00+00:00,1.9090177002000002,-0.0586351879,1.8503825123,0.5570005459,15,4,6,0.25,0.1,0.9,1,0.5570005459,5,96
2021-07-24 18:00:00+00:00,2.0305162354,-0.180667755,1.8498484804,0.5560232927000001,15,4,6,0.25,0.1,0.9,1,0.5560232927000001,5,96
2021-07-24 18:15:00+00:00,1.9823656006,-0.1344391166,1.847926484,0.5560232927000001,15,4,6,0.25,0.1,0.9,1,0.5560232927000001,5,96
2021-07-24 18:30:00+00:00,1.9894981689,-0.1415716859,1.8479264830000002,0.5537826408000001,15,4,6,0.25,0.1,0.9,1,0.5537826408000001,5,96
2021-07-24 18:45:00+00:00,1.9904033203,-0.14401565900000002,1.8463876613,0.5537826408000001,15,4,6,0.25,0.1,0.9,1,0.5537826408000001,5,96
2021-07-24 19:00:00+00:00,1.9986055908,-0.15221793050000001,1.8463876603,0.5513823798,15,4,6,0.25,0.1,0.9,1,0.5513823798,5,96
2021-07-24 19:15:00+00:00,2.011767334,-0.167070983,1.844696351,0.5513823798,15,4,6,0.25,0.1,0.9,1,0.5513823798,5,96
2021-07-24 19:30:00+00:00,1.9900395508000002,-0.14534319980000002,1.844696351,0.5485978634,15,4,6,0.25,0.1,0.9,1,0.5485978634,5,96
2021-07-24 19:45:00+00:00,2.0031420898,-0.1584457388,1.844696351,0.5461754768,15,4,6,0.25,0.1,0.9,1,0.5461754768,5,96
2021-07-24 20:00:00+00:00,2.011767334,-0.167070983,1.844696351,0.5435347145,15,4,6,0.25,0.1,0.9,1,0.5435347145,5,96
2021-07-24 20:15:00+00:00,2.011767334,-0.1690136699,1.8427536641,0.5435347145,15,4,6,0.25,0.1,0.9,1,0.5435347145,5,96
2021-07-24 20:30:00+00:00,1.9904033203,-0.1476496562,1.8427536641,0.54071782,15,4,6,0.25,0.1,0.9,1,0.54071782,5,96
2021-07-24 20:45:00+00:00,1.9904033203,-0.1476496551,1.8427536652,0.5382569924,15,4,6,0.25,0.1,0.9,1,0.5382569924,5,96
2021-07-24 21:00:00+00:00,1.9904033203,-0.1476496551,1.8427536652,0.5357961648,15,4,6,0.25,0.1,0.9,1,0.5357961648,5,96
2021-07-24 21:15:00+00:00,2.011767334,-0.16901366880000002,1.8427536652,0.5333353372,15,4,6,0.25,0.1,0.9,1,0.5333353372,5,96
2021-07-24 21:30:00+00:00,2.011767334,-0.1711002573,1.8406670767,0.5333353372,15,4,6,0.25,0.1,0.9,1,0.5333353372,5,96
2021-07-24 21:45:00+00:00,2.0108621826,-0.1701951059,1.8406670767,0.5304836662,15,4,6,0.25,0.1,0.9,1,0.5304836662,5,96
2021-07-24 22:00:00+00:00,2.011767334,-0.1711002573,1.8406670767,0.5276470811,15,4,6,0.25,0.1,0.9,1,0.5276470811,5,96
2021-07-24 22:15:00+00:00,2.0173125,-0.1766454233,1.8406670767,0.5247954102,15,4,6,0.25,0.1,0.9,1,0.5247954102,5,96
2021-07-24 22:30:00+00:00,2.0018277588,-0.1611606821,1.8406670767,0.5218513198,15,4,6,0.25,0.1,0.9,1,0.5218513198,5,96
2021-07-24 22:45:00+00:00,2.012786377,-0.1721193003,1.8406670767,0.5191653084,15,4,6,0.25,0.1,0.9,1,0.5191653084,5,96
2021-07-24 23:00:00+00:00,2.0526745605,-0.21430240790000002,1.8383721525999999,0.5191653084,15,4,6,0.25,0.1,0.9,1,0.5191653084,5,96
2021-07-24 23:15:00+00:00,2.0312426758,-0.1928705232,1.8383721525999999,0.5155936016,15,4,6,0.25,0.1,0.9,1,0.5155936016,5,96
2021-07-24 23:30:00+00:00,2.037654541,-0.1992823884,1.8383721525999999,0.5123790929,15,4,6,0.25,0.1,0.9,1,0.5123790929,5,96
2021-07-24 23:45:00+00:00,2.037654541,-0.1992823884,1.8383721525999999,0.5090577198,15,4,6,0.25,0.1,0.9,1,0.5090577198,5,96
2021-07-25 00:00:00+00:00,2.0751408691,-0.2367687165,1.8383721525999999,0.5057363466,15,4,6,0.25,0.1,0.9,1,0.5057363466,5,96
2021-07-25 00:15:00+00:00,2.0858308105,-0.2474586578,1.8383721526999999,0.5017902013000001,15,4,6,0.25,0.1,0.9,1,0.5017902013000001,5,96
2021-07-25 00:30:00+00:00,2.063114502,-0.2283287068,1.8347857952000002,0.5017902013000001,15,4,6,0.25,0.1,0.9,1,0.5017902013000001,5,96
2021-07-25 00:45:00+00:00,2.063114502,-0.2283287067,1.8347857953000002,0.4979847229,15,4,6,0.25,0.1,0.9,1,0.4979847229,5,96
2021-07-25 01:00:00+00:00,2.1032219238,-0.26843612850000004,1.8347857953000002,0.4941792445,15,4,6,0.25,0.1,0.9,1,0.4941792445,5,96
2021-07-25 01:15:00+00:00,2.1674111328,-0.3326253375,1.8347857953000002,0.48970530900000003,15,4,6,0.25,0.1,0.9,1,0.48970530900000003,5,96
2021-07-25 01:30:00+00:00,2.2900734863,-0.45528769100000005,1.8347857953000002,0.4841615534,15,4,6,0.25,0.1,0.9,1,0.4841615534,5,96
2021-07-25 01:45:00+00:00,2.3861599121,-0.5513741168,1.8347857953000002,0.4765734252,15,4,6,0.25,0.1,0.9,1,0.4765734252,5,96
2021-07-25 02:00:00+00:00,2.3999084473,-0.5738746223,1.826033825,0.4765734252,15,4,6,0.25,0.1,0.9,1,0.4765734252,5,96
2021-07-25 02:15:00+00:00,2.1499960938,-0.3239622688,1.826033825,0.46700884810000004,15,4,6,0.25,0.1,0.9,1,0.46700884810000004,5,96
2021-07-25 02:30:00+00:00,2.1263747559,-0.3056517879,1.820722968,0.46700884810000004,15,4,6,0.25,0.1,0.9,1,0.46700884810000004,5,96
2021-07-25 02:45:00+00:00,2.0835100098,-0.2627870418,1.820722968,0.4619146517,15,4,6,0.25,0.1,0.9,1,0.4619146517,5,96
2021-07-25 03:00:00+00:00,2.0835100098,-0.2627870418,1.820722968,0.4575348676,15,4,6,0.25,0.1,0.9,1,0.4575348676,5,96
2021-07-25 03:15:00+00:00,2.1241296387,-0.3034066707,1.820722968,0.4531550836,15,4,6,0.25,0.1,0.9,1,0.4531550836,5,96
2021-07-25 03:30:00+00:00,2.1094196777,-0.2886967097,1.820722968,0.44809830580000004,15,4,6,0.25,0.1,0.9,1,0.44809830580000004,5,96
2021-07-25 03:45:00+00:00,2.1094196777,-0.29385200840000003,1.8155676693,0.44809830580000004,15,4,6,0.25,0.1,0.9,1,0.44809830580000004,5,96
2021-07-25 04:00:00+00:00,2.1085144043,-0.292946735,1.8155676693,0.4432007723,15,4,6,0.25,0.1,0.9,1,0.4432007723,5,96
2021-07-25 04:15:00+00:00,2.1094196777,-0.2992769483,1.8101427293999999,0.4432007723,15,4,6,0.25,0.1,0.9,1,0.4432007723,5,96
2021-07-25 04:30:00+00:00,2.0669897461,-0.2568470167,1.8101427293999999,0.4382128232,15,4,6,0.25,0.1,0.9,1,0.4382128232,5,96
2021-07-25 04:45:00+00:00,1.9225670166,-0.11736365400000001,1.8052033626,0.4382128232,15,4,6,0.25,0.1,0.9,1,0.4382128232,5,96
2021-07-25 05:00:00+00:00,1.7568118896,0.048391473000000004,1.8052033626,0.4362567623,15,4,6,0.25,0.1,0.9,1,0.4362567623,5,96
2021-07-25 05:15:00+00:00,1.7406850586,0.064518304,1.8052033626,0.4370632868,15,4,6,0.25,0.1,0.9,1,0.4370632868,5,96
2021-07-25 05:30:00+00:00,1.7753804932000001,0.0298228694,1.8052033626,0.43813859190000004,15,4,6,0.25,0.1,0.9,1,0.43813859190000004,5,96
2021-07-25 05:45:00+00:00,1.6658784180000001,0.13994625460000001,1.8058246726,0.43813859190000004,15,4,6,0.25,0.1,0.9,1,0.43813859190000004,5,96
2021-07-25 06:00:00+00:00,1.3585412598,0.4472834128,1.8058246726,0.4404710294,15,4,6,0.25,0.1,0.9,1,0.4404710294,5,96
2021-07-25 06:15:00+00:00,1.328276001,0.47754867160000003,1.8058246726,0.44792575300000004,15,4,6,0.25,0.1,0.9,1,0.44792575300000004,5,96
2021-07-25 06:30:00+00:00,1.2845515137,0.5212731589,1.8058246726,0.4558848975,15,4,6,0.25,0.1,0.9,1,0.4558848975,5,96
2021-07-25 06:45:00+00:00,1.2937346191,0.5239371723,1.8176717914,0.4558848975,15,4,6,0.25,0.1,0.9,1,0.4558848975,5,96
2021-07-25 07:00:00+00:00,1.1674145508,0.6502572406,1.8176717914,0.4646171837,15,4,6,0.25,0.1,0.9,1,0.4646171837,5,96
2021-07-25 07:15:00+00:00,1.127168457,0.6905033344,1.8176717914,0.47545480440000004,15,4,6,0.25,0.1,0.9,1,0.47545480440000004,5,96
2021-07-25 07:30:00+00:00,1.1050562744,0.712615517,1.8176717914,0.48696319330000004,15,4,6,0.25,0.1,0.9,1,0.48696319330000004,5,96
2021-07-25 07:45:00+00:00,1.0478392334,0.7698325580000001,1.8176717914,0.4988401186,15,4,6,0.25,0.1,0.9,1,0.4988401186,5,96
2021-07-25 08:00:00+00:00,1.0449672852,0.7727045062,1.8176717914,0.5116706612,15,4,6,0.25,0.1,0.9,1,0.5116706612,5,96
2021-07-25 08:15:00+00:00,1.0169260864,0.8007457050000001,1.8176717914,0.5245490697,15,4,6,0.25,0.1,0.9,1,0.5245490697,5,96
